lineNo. #1 #3 #5 #7 #10 #50 #100 
766 1 1 1 1 1 1 1 
767 1 1 1 1 1 1 1 
768 1 1 1 1 1 1 1 
769 1 1 1 1 1 1 1 
770 1 1 1 1 1 1 1 
771 1 1 1 1 1 1 1 
772 0 0 0 0 0 0 0 
773 0 0 0 0 0 0 0 
774 1 1 1 1 1 1 1 
775 0 0 0 0 0 0 0 
776 0 0 0 0 0 0 0 
777 0 0 0 0 0 0 0 
778 1 1 1 1 1 1 1 
779 1 1 1 1 1 1 1 
780 0 0 0 0 0 0 0 
781 1 1 1 1 1 1 1 
782 1 1 1 1 1 1 1 
783 0 0 0 0 0 0 0 
784 0 0 0 0 0 0 0 
785 1 1 1 1 1 1 1 
786 0 0 0 0 0 0 0 
787 0 1 1 1 1 1 1 
788 1 1 1 1 1 1 1 
789 0 0 0 0 0 0 0 
790 0 0 0 0 0 0 0 
791 1 1 1 1 1 1 1 
792 1 1 1 1 1 1 1 
793 1 1 1 1 1 1 1 
794 1 1 1 1 1 1 1 
795 1 1 1 1 1 1 1 
796 1 1 1 1 1 1 1 
797 1 1 1 1 1 1 1 
798 0 0 0 0 0 0 0 
799 1 1 1 1 1 1 1 
800 1 1 1 1 1 1 1 
801 1 1 1 1 1 1 1 
802 0 0 0 0 0 0 0 
803 0 0 0 0 0 0 0 
804 0 0 0 0 0 0 0 
805 1 1 1 1 1 1 1 
806 1 1 1 1 1 1 1 
807 0 0 0 0 0 0 0 
808 1 1 1 1 1 1 1 
809 1 1 1 1 1 1 1 
810 1 1 1 1 1 1 1 
811 0 0 0 0 0 0 0 
812 0 0 0 0 0 0 0 
813 0 0 0 0 0 0 0 
814 0 0 0 0 0 0 0 
815 1 1 1 1 1 1 1 
816 0 0 0 0 0 0 0 
